epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5954,1.28857,2.16269,1.85488,0.00693,1,0.5803,0.23573,1.23066,3.20937,2.596,0.00062,0.00062,0.00062
2,74.6605,1.28164,1.72936,1.75105,0.79768,0.875,0.90639,0.43648,1.57833,2.44212,3.73941,0.00123505,0.00123505,0.00123505
3,102.582,1.33811,1.80576,1.88812,0.7374,0.8125,0.8061,0.40718,1.76395,2.84503,5.00163,0.00182476,0.00182476,0.00182476
4,122.528,1.38439,1.67773,1.85209,0.34939,0.71875,0.39503,0.16344,1.81953,6.49021,3.6627,0.0018812,0.0018812,0.0018812
5,139.443,1.36415,1.55549,1.8098,0.9559,0.90625,0.96846,0.55636,1.45062,2.55368,3.18338,0.0018416,0.0018416,0.0018416
6,156.733,1.41287,1.6368,1.87229,0.96469,0.85407,0.96706,0.5388,1.39174,2.35122,3.13972,0.001802,0.001802,0.001802
7,173.769,1.36877,1.60799,1.82765,0.96745,0.92916,0.9766,0.52813,1.58023,1.92172,3.02229,0.0017624,0.0017624,0.0017624
8,190.411,1.38183,1.5127,1.90195,0.96473,0.96875,0.96584,0.53231,1.40276,2.67054,2.87788,0.0017228,0.0017228,0.0017228
9,206.692,1.34057,1.38636,1.83605,0.89808,0.6875,0.82555,0.30204,1.95172,2.48476,3.25514,0.0016832,0.0016832,0.0016832
10,223.095,1.32352,1.39621,1.81183,0.81765,0.84081,0.79291,0.26343,2.09771,2.53562,3.13056,0.0016436,0.0016436,0.0016436
11,239.187,1.31242,1.26386,1.77838,0.96873,0.96802,0.98979,0.58197,1.52031,1.38828,2.59016,0.001604,0.001604,0.001604
12,255.286,1.30904,1.20778,1.78457,0.93865,0.875,0.95722,0.52394,1.53297,1.59031,2.49983,0.0015644,0.0015644,0.0015644
13,271.77,1.27035,1.1911,1.70711,0.96968,0.99954,0.99318,0.52628,1.53231,1.4654,2.74375,0.0015248,0.0015248,0.0015248
14,288.056,1.25792,1.20574,1.7283,1,0.99224,0.995,0.58848,1.40725,1.16496,2.47985,0.0014852,0.0014852,0.0014852
15,304.689,1.30733,1.22901,1.74093,0.95528,0.90625,0.97471,0.45748,1.66483,1.45901,2.79301,0.0014456,0.0014456,0.0014456
16,321.357,1.31951,1.17889,1.74812,0.93039,0.9375,0.98509,0.46873,1.69247,1.45582,2.79416,0.001406,0.001406,0.001406
17,337.951,1.28598,1.16608,1.77438,0.98052,0.875,0.97165,0.53152,1.56626,1.46243,2.71747,0.0013664,0.0013664,0.0013664
18,355.251,1.35211,1.14549,1.83136,0.99998,0.9375,0.96646,0.57984,1.50076,1.40838,2.60644,0.0013268,0.0013268,0.0013268
19,372.445,1.29652,1.09638,1.74143,0.90531,0.84375,0.92601,0.43279,1.90902,1.81073,2.93923,0.0012872,0.0012872,0.0012872
20,389.649,1.23018,1.02816,1.68473,0.98928,0.8125,0.91369,0.40402,1.81076,1.59115,2.86542,0.0012476,0.0012476,0.0012476
21,406.703,1.29869,1.09697,1.76901,0.9962,0.96875,0.99026,0.59032,1.43925,1.11324,2.62088,0.001208,0.001208,0.001208
22,423.017,1.34389,1.0726,1.78537,0.99539,1,0.995,0.56,1.53806,1.03355,2.81242,0.0011684,0.0011684,0.0011684
23,439.09,1.21526,1.03597,1.6929,1,0.99962,0.995,0.58866,1.51686,1.11532,2.69889,0.0011288,0.0011288,0.0011288
24,455.227,1.2041,0.99749,1.65782,0.97268,1,0.995,0.57441,1.49431,1.11773,2.65229,0.0010892,0.0010892,0.0010892
25,471.614,1.19174,0.9773,1.6316,0.99772,1,0.995,0.57562,1.53956,1.11001,2.68061,0.0010496,0.0010496,0.0010496
26,487.899,1.16543,0.96777,1.61287,0.96517,0.96875,0.95778,0.57936,1.47434,1.04399,2.53085,0.00101,0.00101,0.00101
27,504.09,1.12105,0.92151,1.59632,0.96666,0.96875,0.97721,0.58567,1.45949,0.97702,2.59285,0.0009704,0.0009704,0.0009704
28,520.334,1.13244,0.91341,1.59455,0.99637,0.9375,0.98551,0.5581,1.53336,1.00198,2.62503,0.0009308,0.0009308,0.0009308
29,536.72,1.15618,0.92911,1.63965,0.99773,1,0.995,0.57206,1.48048,0.96001,2.56796,0.0008912,0.0008912,0.0008912
30,554.258,1.10253,0.86581,1.57513,0.99779,1,0.995,0.57097,1.48809,0.92421,2.61353,0.0008516,0.0008516,0.0008516
31,571.567,1.11095,0.9067,1.59567,0.99848,1,0.995,0.56883,1.50178,0.9143,2.59772,0.000812,0.000812,0.000812
32,588.758,1.13877,0.92288,1.66038,0.96694,1,0.99409,0.58499,1.5306,0.94131,2.63748,0.0007724,0.0007724,0.0007724
33,608.604,1.14522,0.92836,1.61175,1,0.96342,0.99243,0.58627,1.47968,0.96549,2.53305,0.0007328,0.0007328,0.0007328
34,631.512,1.09387,0.87454,1.59521,0.96623,0.96875,0.99001,0.53618,1.53856,0.96153,2.59269,0.0006932,0.0006932,0.0006932
35,653.698,1.11043,0.83656,1.55618,1,0.96798,0.99167,0.57108,1.50698,0.93005,2.59004,0.0006536,0.0006536,0.0006536
36,675.423,1.12683,0.86083,1.59688,0.98754,0.96875,0.98841,0.59711,1.41281,0.90177,2.50892,0.000614,0.000614,0.000614
37,697.001,1.16662,0.87768,1.68614,0.96797,0.96875,0.99324,0.62172,1.35855,0.86468,2.39941,0.0005744,0.0005744,0.0005744
38,718.557,1.11373,0.80527,1.59803,1,0.96723,0.99324,0.60309,1.43775,0.89409,2.39635,0.0005348,0.0005348,0.0005348
39,740.085,1.07018,0.83512,1.5583,0.99383,0.96875,0.99324,0.58702,1.50169,0.89282,2.4614,0.0004952,0.0004952,0.0004952
40,761.613,1.11585,0.82648,1.58646,0.96961,0.99706,0.99409,0.59111,1.54536,0.87344,2.52902,0.0004556,0.0004556,0.0004556
41,778.987,1.08293,0.88563,1.84793,0.99581,0.96875,0.99324,0.59591,1.51306,0.85661,2.55112,0.000416,0.000416,0.000416
42,796.023,0.98342,0.80803,1.77827,0.9967,0.96875,0.99243,0.56176,1.53598,0.89284,2.60422,0.0003764,0.0003764,0.0003764
43,813.624,0.96342,0.82567,1.76394,0.99708,0.96875,0.99095,0.57165,1.47448,0.94438,2.46415,0.0003368,0.0003368,0.0003368
44,831.35,0.94058,0.83203,1.73707,0.99716,0.96875,0.99167,0.60092,1.40552,0.91522,2.30854,0.0002972,0.0002972,0.0002972
45,848.771,0.94103,0.73536,1.70046,0.99601,0.96875,0.98841,0.62262,1.38518,0.95676,2.30107,0.0002576,0.0002576,0.0002576
46,866.496,0.92803,0.72834,1.67468,0.99623,0.96875,0.98962,0.61531,1.34692,0.94712,2.26766,0.000218,0.000218,0.000218
47,883.875,0.84847,0.70112,1.67832,0.99661,0.96875,0.98962,0.62412,1.34058,0.92939,2.26578,0.0001784,0.0001784,0.0001784
48,900.824,0.8247,0.65567,1.62751,0.99717,0.96875,0.99095,0.61401,1.36986,0.88774,2.3124,0.0001388,0.0001388,0.0001388
49,917.915,0.89357,0.72353,1.69139,0.99731,0.96875,0.99167,0.61045,1.37614,0.88299,2.34279,9.92e-05,9.92e-05,9.92e-05
50,935.334,0.85949,0.67259,1.67763,0.99764,0.96875,0.99095,0.61348,1.37789,0.88004,2.34737,5.96e-05,5.96e-05,5.96e-05
